datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-29T21:29:01,2026-05-30,08:00,60,Outdoor 3,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:00,60,Outdoor 3,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,17:00,60,Outdoor 4,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,17:00,90,Outdoor 4,54.0,frei,1
2026-05-29T21:29:01,2026-05-30,17:00,120,Outdoor 4,72.0,frei,1
2026-05-29T21:29:01,2026-05-30,17:00,150,Outdoor 4,90.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:00,60,Outdoor 4,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:00,90,Outdoor 4,54.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:00,150,Outdoor 4,90.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:30,60,Outdoor 4,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:30,120,Outdoor 4,72.0,frei,1
2026-05-29T21:29:01,2026-05-30,19:00,90,Outdoor 4,54.0,frei,1
2026-05-29T21:29:01,2026-05-30,19:30,60,Outdoor 4,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,08:00,60,Indoor 3,42.0,frei,1
2026-05-29T21:29:01,2026-05-30,08:00,120,Indoor 3,84.0,frei,1
2026-05-29T21:29:01,2026-05-30,09:00,60,Indoor 3,42.0,frei,1
2026-05-29T21:29:01,2026-05-30,15:00,60,Indoor 4,42.0,frei,1
2026-05-29T21:29:01,2026-05-30,15:00,120,Indoor 4,84.0,frei,1
2026-05-29T21:29:01,2026-05-30,16:00,60,Indoor 4,42.0,frei,1
2026-05-29T21:29:01,2026-05-30,21:30,60,Indoor 4,42.0,frei,1
2026-05-29T21:29:01,2026-05-30,19:00,60,2a814736-d933-4638-9e80-70b394a417dc,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,18:30,90,Outdoor 2,54.0,frei,1
2026-05-29T21:29:01,2026-05-30,21:00,60,Outdoor 2,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,08:00,60,Indoor 2,42.0,frei,1
2026-05-29T21:29:01,2026-05-30,13:00,60,Outdoor 1,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,13:00,120,Outdoor 1,72.0,frei,1
2026-05-29T21:29:01,2026-05-30,14:00,60,Outdoor 1,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,20:00,60,Outdoor 1,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,20:00,120,Outdoor 1,72.0,frei,1
2026-05-29T21:29:01,2026-05-30,21:00,60,Outdoor 1,36.0,frei,1
2026-05-29T21:29:01,2026-05-30,12:30,90,Indoor 1,63.0,frei,1
2026-05-29T21:29:01,2026-05-31,08:00,90,Outdoor 4,54.0,frei,2
2026-05-29T21:29:01,2026-05-31,08:30,60,Outdoor 4,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,08:00,60,Outdoor 3,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,22:00,60,Indoor 3,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,22:00,120,Indoor 3,66.0,frei,2
2026-05-29T21:29:01,2026-05-31,23:00,60,Indoor 3,30.0,frei,2
2026-05-29T21:29:01,2026-05-31,13:00,60,Indoor 2,42.0,frei,2
2026-05-29T21:29:01,2026-05-31,22:30,90,Indoor 2,45.0,frei,2
2026-05-29T21:29:01,2026-05-31,08:00,90,Indoor 4,63.0,frei,2
2026-05-29T21:29:01,2026-05-31,23:00,60,Indoor 4,30.0,frei,2
2026-05-29T21:29:01,2026-05-31,22:30,90,Single Indoor,45.0,frei,2
2026-05-29T21:29:01,2026-05-31,08:00,90,Outdoor 2,54.0,frei,2
2026-05-29T21:29:01,2026-05-31,08:30,60,Outdoor 2,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,12:30,60,Outdoor 2,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,10:00,60,2a814736-d933-4638-9e80-70b394a417dc,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,22:00,60,Indoor 1,36.0,frei,2
2026-05-29T21:29:01,2026-05-31,22:00,120,Indoor 1,66.0,frei,2
2026-05-29T21:29:01,2026-05-31,23:00,60,Indoor 1,30.0,frei,2
2026-05-29T21:29:01,2026-06-01,08:00,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:00,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:00,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:30,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:30,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:30,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:00,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:00,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:00,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:30,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:30,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,09:30,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:00,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:00,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:00,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:00,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:00,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:00,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,150,Outdoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:30,120,Outdoor 2,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:00,90,Outdoor 2,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:30,60,Outdoor 2,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:00,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,150,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,150,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,150,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:30,150,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:00,150,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:30,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:30,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:30,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,13:30,150,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:00,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:00,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:00,120,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:30,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:30,90,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,14:30,150,Outdoor 4,72.0,frei,3
2026-05-29T21:29:01,2026-06-01,15:00,60,Outdoor 4,24.0,frei,3
2026-05-29T21:29:01,2026-06-01,15:00,120,Outdoor 4,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,15:30,90,Outdoor 4,48.0,frei,3
2026-05-29T21:29:01,2026-06-01,16:00,60,Outdoor 4,36.0,frei,3
2026-05-29T21:29:01,2026-06-01,08:00,60,Indoor 2,30.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,60,Indoor 2,30.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,90,Indoor 2,45.0,frei,3
2026-05-29T21:29:01,2026-06-01,10:30,120,Indoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,60,Indoor 2,30.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,90,Indoor 2,45.0,frei,3
2026-05-29T21:29:01,2026-06-01,11:30,120,Indoor 2,60.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,60,Indoor 2,30.0,frei,3
2026-05-29T21:29:01,2026-06-01,12:00,90,Indoor 2,45.0,frei,3
