datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-06-04T09:59:01,2026-06-04,23:00,60,Indoor 2,30.0,frei,0
2026-06-04T09:59:01,2026-06-04,23:00,60,Indoor 3,30.0,frei,0
2026-06-04T09:59:01,2026-06-04,16:00,90,Outdoor 3,54.0,frei,0
2026-06-04T09:59:01,2026-06-04,16:30,60,Outdoor 3,36.0,frei,0
2026-06-04T09:59:01,2026-06-04,20:30,90,Outdoor 3,54.0,frei,0
2026-06-04T09:59:01,2026-06-04,23:00,60,Single Indoor,22.0,frei,0
2026-06-04T09:59:01,2026-06-05,08:00,60,Outdoor 2,24.0,frei,1
2026-06-04T09:59:01,2026-06-05,08:00,60,Indoor 3,30.0,frei,1
2026-06-04T09:59:01,2026-06-05,08:00,120,Indoor 3,60.0,frei,1
2026-06-04T09:59:01,2026-06-05,09:00,60,Indoor 3,30.0,frei,1
2026-06-04T09:59:01,2026-06-05,23:00,60,Indoor 3,30.0,frei,1
2026-06-04T09:59:01,2026-06-05,08:00,60,Indoor 4,30.0,frei,1
2026-06-04T09:59:01,2026-06-05,08:00,120,Indoor 4,60.0,frei,1
2026-06-04T09:59:01,2026-06-05,09:00,60,Indoor 4,30.0,frei,1
2026-06-04T09:59:01,2026-06-05,23:00,60,Indoor 4,30.0,frei,1
2026-06-04T09:59:01,2026-06-05,08:00,90,Outdoor 3,36.0,frei,1
2026-06-04T09:59:01,2026-06-05,08:30,60,Outdoor 3,24.0,frei,1
2026-06-04T09:59:01,2026-06-05,17:30,90,Outdoor 3,54.0,frei,1
2026-06-04T09:59:01,2026-06-06,08:00,60,Outdoor 2,36.0,frei,2
2026-06-04T09:59:01,2026-06-06,08:00,60,Indoor 2,42.0,frei,2
2026-06-04T09:59:01,2026-06-06,08:00,60,Indoor 3,42.0,frei,2
2026-06-04T09:59:01,2026-06-06,23:00,60,Indoor 3,30.0,frei,2
2026-06-04T09:59:01,2026-06-06,09:00,60,Indoor 4,42.0,frei,2
2026-06-04T09:59:01,2026-06-06,23:00,60,Indoor 4,30.0,frei,2
2026-06-04T09:59:01,2026-06-06,22:30,90,Single Indoor,45.0,frei,2
2026-06-04T09:59:01,2026-06-07,08:00,60,Outdoor 1,36.0,frei,3
2026-06-04T09:59:01,2026-06-07,08:00,60,Outdoor 4,36.0,frei,3
2026-06-04T09:59:01,2026-06-07,21:00,60,Outdoor 3,36.0,frei,3
2026-06-04T09:59:01,2026-06-07,23:00,60,Single Indoor,30.0,frei,3
2026-06-04T09:59:01,2026-06-07,08:00,90,Outdoor 2,54.0,frei,3
2026-06-04T09:59:01,2026-06-07,08:30,60,Outdoor 2,36.0,frei,3
2026-06-04T09:59:01,2026-06-08,08:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:00,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:00,120,Indoor 1,60.0,frei,4
2026-06-04T09:59:01,2026-06-08,09:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,09:00,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,09:00,120,Indoor 1,60.0,frei,4
2026-06-04T09:59:01,2026-06-08,09:30,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,09:30,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,09:30,120,Indoor 1,60.0,frei,4
2026-06-04T09:59:01,2026-06-08,10:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,10:00,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,10:00,120,Indoor 1,60.0,frei,4
2026-06-04T09:59:01,2026-06-08,10:30,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,10:30,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,11:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,11:00,120,Indoor 1,60.0,frei,4
2026-06-04T09:59:01,2026-06-08,11:30,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,12:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,14:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,14:00,90,Indoor 1,45.0,frei,4
2026-06-04T09:59:01,2026-06-08,15:00,90,Indoor 1,51.0,frei,4
2026-06-04T09:59:01,2026-06-08,15:30,60,Indoor 1,36.0,frei,4
2026-06-04T09:59:01,2026-06-08,22:00,60,Indoor 1,36.0,frei,4
2026-06-04T09:59:01,2026-06-08,22:00,120,Indoor 1,66.0,frei,4
2026-06-04T09:59:01,2026-06-08,23:00,60,Indoor 1,30.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:00,60,Outdoor 1,24.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:00,90,Outdoor 1,36.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:00,120,Outdoor 1,48.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:00,150,Outdoor 1,60.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:30,60,Outdoor 1,24.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:30,90,Outdoor 1,36.0,frei,4
2026-06-04T09:59:01,2026-06-08,08:30,120,Outdoor 1,48.0,frei,4
