datum_snapshot,datum_slot,uhrzeit_slot,dauer_minuten,court,preis,status,tage_im_voraus
2026-05-31T12:30:01,2026-05-31,15:30,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,15:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,15:30,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,16:30,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,16:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,16:30,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:30,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:30,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:00,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:00,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:00,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:30,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:00,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:00,120,Padel 3,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:30,90,Padel 3,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,22:00,60,Padel 3,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,13:30,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,14:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:00,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:00,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:30,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:30,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:00,120,Padel 2,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:30,90,Padel 2,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,22:00,60,Padel 2,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,60,Padel 4,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,120,Padel 4,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,60,Padel 4,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:30,60,Padel 4,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,20:30,90,Padel 4,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,21:30,90,Padel 4,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,22:00,60,Padel 4,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,13:00,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,15:30,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,15:30,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,15:30,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,16:30,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,16:30,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,16:30,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:00,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:30,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:30,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,17:30,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:00,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,18:30,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:00,120,Padel 1,80.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,60,Padel 1,40.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,90,Padel 1,60.0,frei,0
2026-05-31T12:30:01,2026-05-31,19:30,120,Padel 1,80.0,frei,0
